id;nombre;TiposExamen_id;requiereAutorizacion;citaControl;codigoCups;codigoRips;concepto_id;edadFin;edadIni;estadoReg;tipoRadiologia_id;solicitaEnfermeria;centroCosto;cita1Vez;consentimientoInformado;cuentaContable;cupsCategoria;cupsGrupo;cupsSubgrupo;distribucionTerceros;duracion;finalidad;manejaInterfaz;nivelAtencion;resolucion1132;grupoQx_id;cantidadUvr;honorarios;cupsSubCategoria;tipoHonorario_id
648;SOMATOMEDINA C [FACTOR I DE CRECIMIENTO SIMILAR A LA INSULINA O IGF-1];1;S;N;904101;0;15;120;0;A;4;.;;;;;;;;;;;;;;24;25;;;7
1551;CRANIECTOMIA DESCOMPRESIVA BIFRONTAL;3;N;N;12505;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;42;;;7
1909;ABLACION DE GANGLIO LINFATICO CERVICAL PROFUNDO VIA PERCUTANEA;3;N;N;402102;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;31;;;7
4027;HABITACION UNIPERSONAL;7;N;N;S11101;0;2;120;0;A;4;N;;N;N;;;;;N;;N;N;;;24;;N;;7
3224;CISTOMETRIA SOD;4;N;N;892800;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;42;;;7
3488;INSERCION DE DISPOSITIVO EN URETRA;4;N;N;961601;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;18;;;7
3495;LAVADO GASTRICO PARA HIPOTERMIA O CONGELACION GASTRICA SOD;4;N;N;963100;0;4;120;0;A;4;.;;;;;;;;;;;;;;24;18;;;7
3496;LAVADO GASTRICO DE LIMPIEZA SOD;4;N;N;963300;0;4;120;0;A;4;.;;;;;;;;;;;;;;24;18;;;7
3498;IRRIGACION O ENEMA TRANSANAL SOD;4;N;N;963900;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;18;;;7
3499;IRRIGACION, LAVADO O LIMPIEZA E INSTILACION LOCAL DE COLECISTOSMIA Y OTRO TUBO BILIAR SOD;4;N;N;964100;0;5;120;0;A;4;.;;;;;;;;;;;;;;24;18;;;7
