"codigohomologado","colvalorbase","fecharegistro","estadoreg","codigocups_id","concepto","tipostarifa_id"
"","100000.0000","2025-04-04 14:37:24.25515-05","A",1,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",2,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",7,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",8,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",13,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",14,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",15,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",16,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",17,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",18,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",19,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",20,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",21,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",22,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",23,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",24,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",25,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",26,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",27,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",28,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",29,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",30,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",31,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",32,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",33,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",34,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",35,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",36,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",37,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",38,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",39,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",40,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",41,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",42,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",43,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",44,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",45,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",46,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",47,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",48,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",49,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",50,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",51,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",52,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",53,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",54,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",55,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",56,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",57,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",58,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",59,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",60,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",61,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",63,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",64,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",69,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",70,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",71,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",72,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",73,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",74,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",75,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",76,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",77,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",78,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",79,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",80,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",81,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",82,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",83,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",84,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",85,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",86,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",87,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",88,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",89,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",90,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",91,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",92,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",93,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",94,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",95,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",96,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",97,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",98,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",99,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",100,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",101,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",102,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",103,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",104,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",105,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",106,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",107,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",108,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",109,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",110,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",111,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",113,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",114,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",115,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",116,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",117,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",118,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",119,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",120,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",121,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",122,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",123,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",124,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",125,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",126,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",127,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",128,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",129,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",130,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",132,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",133,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",134,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",135,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",136,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",137,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",138,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",139,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",140,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",141,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",142,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",143,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",144,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",145,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",146,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",147,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",148,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",149,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",150,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",151,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",152,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",153,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",154,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",155,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",156,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",157,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",158,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",159,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",160,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",161,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",162,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",163,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",164,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",165,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",166,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",167,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",168,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",169,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",170,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",171,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",172,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",173,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",174,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",175,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",176,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",177,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",178,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",179,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",180,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",181,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",182,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",183,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",184,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",185,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",186,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",187,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",188,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",189,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",190,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",191,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",192,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",193,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",194,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",195,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",196,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",197,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",198,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",199,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",200,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",201,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",202,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",203,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",204,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",205,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",206,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",207,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",208,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",209,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",210,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",211,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",212,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",213,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",214,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",215,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",216,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",217,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",218,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",219,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",220,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",221,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",222,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",223,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",224,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",225,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",226,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",227,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",228,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",229,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",230,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",231,4,2
"","100000.0000","2025-04-04 14:37:24.25515-05","A",232,4,2
